2020-07-13 16:23:29;6a02;20.3;54
2020-07-13 16:23:31;8d00;20.5;54
2020-07-13 16:24:29;8d00;20.5;54
2020-07-13 16:24:48;6a02;20.3;54
2020-07-13 16:25:26;8d00;20.5;54
2020-07-13 16:26:08;6a02;20.3;54
2020-07-13 16:26:22;8d00;20.5;54
2020-07-13 16:27:20;8d00;20.5;54
2020-07-13 16:27:27;6a02;20.3;54
2020-07-13 16:28:17;8d00;20.5;54
2020-07-13 16:28:46;6a02;20.3;54
2020-07-13 16:29:14;8d00;20.5;54
2020-07-13 16:30:05;6a02;20.3;54
2020-07-13 16:30:11;8d00;20.5;54
2020-07-13 16:31:08;8d00;20.5;54
2020-07-13 16:31:23;6a02;20.3;54
2020-07-13 16:32:05;8d00;20.5;54
2020-07-13 16:32:43;6a02;20.3;54
2020-07-13 16:33:02;8d00;20.5;54
2020-07-13 16:33:59;8d00;20.5;54
2020-07-13 16:34:02;6a02;20.3;54
2020-07-13 16:34:56;8d00;20.5;54
2020-07-13 16:35:21;6a02;20.3;54
2020-07-13 16:35:53;8d00;20.5;54
2020-07-13 16:36:39;6a02;20.3;54
2020-07-13 16:36:50;8d00;20.5;54
2020-07-13 16:37:47;8d00;20.5;54
2020-07-13 16:37:58;6a02;20.3;54
2020-07-13 16:38:44;8d00;20.5;54
2020-07-13 16:39:18;6a02;20.3;54
2020-07-13 16:39:41;8d00;20.5;54
2020-07-13 16:40:36;6a02;20.3;54
2020-07-13 16:40:38;8d00;20.5;54
2020-07-13 16:41:34;8d00;20.5;54
2020-07-13 16:41:56;6a02;20.3;54
2020-07-13 16:42:31;8d00;20.5;54
2020-07-13 16:43:14;6a02;20.3;54
2020-07-13 16:43:28;8d00;20.5;54
2020-07-13 16:44:25;8d00;20.5;54
2020-07-13 16:44:33;6a02;20.3;54
2020-07-13 16:45:22;8d00;20.5;54
2020-07-13 16:45:53;6a02;20.3;54
2020-07-13 16:46:19;8d00;20.5;54
2020-07-13 16:47:11;6a02;20.3;54
